depl,model,energy(joules),timestamp
SCLB,emotion,7243.589144415406,48
SCLB,emotion,7546.005230712418,49
SCLB,emotion,7840.9502400295405,50
SCLB,emotion,8144.522098312691,51
SCLB,emotion,8477.935329394386,52
SCLB,emotion,8814.332185461879,53
SCLB,emotion,9135.195797807068,54
SCLB,emotion,9478.276810589705,55
SCLB,emotion,9859.403097602546,56
SCLB,emotion,10212.051994744916,57
SCLB,emotion,10549.783010907851,58
SCLB,emotion,10914.139778860357,59
SCLB,emotion,11272.514781842972,60
SCLB,emotion,11639.738627883193,61
DOCKER,yolov4,3.588891727586076,1
DOCKER,yolov4,14.861678591720011,2
DOCKER,yolov4,32.29874471610924,3
DOCKER,yolov4,60.12299375023673,4
DOCKER,yolov4,97.82203183591531,5
DOCKER,yolov4,141.60038731487444,6
DOCKER,yolov4,194.45038908564067,7
DOCKER,yolov4,255.89026127798184,8
DOCKER,yolov4,325.84534967425475,9
DOCKER,yolov4,404.4203165599787,10
DOCKER,yolov4,496.84864216317555,11
DOCKER,yolov4,710.5942798852316,13
DOCKER,yolov4,823.8867515435021,14
DOCKER,yolov4,936.6066912238173,15
DOCKER,yolov4,1057.596537252377,16
DOCKER,yolov4,1193.0283148744368,17
DOCKER,yolov4,1336.4949356463771,18
DOCKER,yolov4,1491.3437019525777,19
DOCKER,yolov4,1647.2453122987763,20
DOCKER,yolov4,1809.1472553880537,21
DOCKER,yolov4,1990.044671395023,22
DOCKER,yolov4,2165.064409586758,23
DOCKER,yolov4,2320.4609451157153,24
DOCKER,yolov4,2478.731972983978,25
DOCKER,yolov4,2645.168000946934,26
DOCKER,yolov4,2819.4065535017617,27
DOCKER,yolov4,3005.097219018634,28
DOCKER,yolov4,3211.4937177967236,29
DOCKER,yolov4,3463.4322981516952,30
DOCKER,yolov4,3713.5055316679577,31
DOCKER,yolov4,3940.3918141490176,32
DOCKER,yolov4,4186.30179211427,33
DOCKER,yolov4,4444.306058561603,34
DOCKER,yolov4,4702.143326361178,35
DOCKER,yolov4,4962.205494333477,36
DOCKER,yolov4,5228.874965634108,37
DOCKER,yolov4,5507.903922685063,38
DOCKER,yolov4,5806.695138633544,39
DOCKER,yolov4,6106.917980681432,40
DOCKER,yolov4,6410.623824109969,41
DOCKER,yolov4,6731.487955191061,42
DOCKER,yolov4,7067.775856925092,43
DOCKER,yolov4,7396.650189762962,44
DOCKER,yolov4,7703.274483993753,45
DOCKER,yolov4,8016.158970776987,46
DOCKER,cifar10,2.9820076925407735,1
DOCKER,cifar10,12.11197430517154,2
DOCKER,cifar10,29.568496327957522,3
DOCKER,cifar10,55.547288218406045,4
DOCKER,cifar10,87.59457005476817,5
DOCKER,cifar10,129.8664533069214,6
DOCKER,cifar10,181.90960498556936,7
DOCKER,cifar10,243.5592931649635,8
DOCKER,cifar10,312.34014773390095,9
DOCKER,cifar10,387.16759711311937,10
DOCKER,cifar10,470.71736105324555,11
DOCKER,cifar10,559.984377930627,12
DOCKER,cifar10,648.8742983633939,13
DOCKER,cifar10,746.8773523797258,14
DOCKER,cifar10,861.465026304626,15
DOCKER,cifar10,983.3348149775396,16
DOCKER,cifar10,1116.217490938255,17
DOCKER,cifar10,1252.8329520835384,18
DOCKER,cifar10,1390.6310554991628,19
DOCKER,cifar10,1669.168651191946,21
DOCKER,cifar10,1824.1914565452878,22
DOCKER,cifar10,2003.2917753539477,23
DOCKER,cifar10,2181.9147924036633,24
DOCKER,cifar10,2360.082158873124,25
DOCKER,cifar10,2541.6461378597237,26
DOCKER,cifar10,2735.2632975282363,27
DOCKER,cifar10,2945.9833026414467,28
DOCKER,cifar10,3164.621174296081,29
DOCKER,cifar10,3386.9097396239704,30
DOCKER,cifar10,3605.6764815337356,31
DOCKER,cifar10,3821.507445591655,32
DOCKER,cifar10,4070.113171089909,33
DOCKER,cifar10,4321.26044002015,34
DOCKER,cifar10,4564.960130405799,35
DOCKER,cifar10,4819.9117248941375,36
DOCKER,cifar10,5071.574718801841,37
DOCKER,cifar10,5353.197089049397,38
DOCKER,cifar10,5644.939281205732,39
DOCKER,cifar10,5922.55734219118,40
DOCKER,cifar10,6213.29815208581,41
DOCKER,cifar10,6503.654851773716,42
DOCKER,cifar10,6783.63813631061,43
DOCKER,cifar10,7086.380042079826,44
DOCKER,cifar10,7395.056139497845,45
SCLB,yolov4,2.859846253342524,1
SCLB,yolov4,11.637112115657027,2
SCLB,yolov4,25.482278522244357,3
SCLB,yolov4,48.13148506563847,4
SCLB,yolov4,78.14123851421472,5
SCLB,yolov4,112.74543306997145,6
SCLB,yolov4,158.19308681662895,7
SCLB,yolov4,207.60199142495705,8
SCLB,yolov4,259.2974434706199,9
SCLB,yolov4,321.1955408072055,10
SCLB,yolov4,395.5437367719357,11
SCLB,yolov4,480.15373758626174,12
SCLB,yolov4,563.89714234988,13
SCLB,yolov4,645.1634083144587,14
SCLB,yolov4,733.2970622239815,15
SCLB,yolov4,827.0111092257464,16
SCLB,yolov4,936.3535868980617,17
SCLB,yolov4,1059.76176805342,18
SCLB,yolov4,1193.7876262489492,19
SCLB,yolov4,1326.2914370772135,20
SCLB,yolov4,1449.2802562475856,21
SCLB,yolov4,1584.9497133572204,22
SCLB,yolov4,1729.9261888308552,23
SCLB,yolov4,1883.7315880494807,24
SCLB,yolov4,2037.7052565695287,25
SCLB,yolov4,2193.150839305058,26
SCLB,yolov4,2349.6237247274853,27
SCLB,yolov4,2526.2941713948085,28
SCLB,yolov4,2723.07356194749,29
SCLB,yolov4,2917.3871576989804,30
SCLB,yolov4,3125.8953271886435,31
SCLB,yolov4,3346.720394815584,32
SCLB,yolov4,3551.476750479127,33
SCLB,yolov4,3753.0619098408465,34
SCLB,yolov4,3991.8372683431685,35
SCLB,yolov4,4263.561085629228,36
SCLB,yolov4,4530.443882327988,37
SCLB,yolov4,4778.708007116831,38
SCLB,yolov4,5021.394483329042,39
SCLB,yolov4,5278.908662535698,40
SCLB,yolov4,5550.317531408369,41
SCLB,yolov4,5835.480204812478,42
SCLB,yolov4,6137.843611384657,43
SCLB,yolov4,6418.418125572869,44
SCLB,yolov4,6686.081889435351,45
SCLB,yolov4,6989.87323698404,46
SCLB,yolov4,7342.877164791192,47
SCLB,yolov4,7678.197385672407,48
SCLB,yolov4,7994.67809262107,49
SCLB,yolov4,8307.471878290446,50
SCLB,yolov4,8611.364528959708,51
SCLB,yolov4,8931.083398391043,52
SCLB,yolov4,9290.509858657613,53
SCLB,yolov4,9676.225607013808,54
SCLB,yolov4,10052.328780934922,55
SCLB,yolov4,10417.589898417556,56
SCLB,yolov4,10771.145351883555,57
SCLB,yolov4,11165.719237828665,58
